Country Name,Country Code,Time,Time Code,Income share held by highest 10% [SI.DST.10TH.10],Income share held by lowest 10% [SI.DST.FRST.10],GDP per capita (current US$) [NY.GDP.PCAP.CD],GNI per capita (current LCU) [NY.GNP.PCAP.CN],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],Gini index [SI.POV.GINI],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Net primary income (Net income from abroad) (current US$) [NY.GSR.NFCY.CD]
Afghanistan,AFG,2019,YR2019,..,..,500.522664145294,39528.1514668754,..,..,469.477760109331,25.754,..,..,300524701.859789
Afghanistan,AFG,2020,YR2020,..,..,516.866552182696,40074.7488352604,..,..,476.899059736407,26.026,..,11.71,188941973.947349
Afghanistan,AFG,2021,YR2021,..,..,368.754614175459,31002.9578202321,..,..,339.682114402906,26.314,..,5.58,124061713.472655
Afghanistan,AFG,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2019,YR2019,23.6,3.5,5396.21586434732,585020.249100358,21.8,30.1,4361.99929292963,61.229,14.3966063450874,11.47,-201581599.76987
Albania,ALB,2020,YR2020,22.8,3.4,5332.16047456847,569758.934989141,..,29.4,4322.54967533332,62.112,13.5030553095609,..,-250229603.313392
Albania,ALB,2021,YR2021,..,..,6492.87201224634,662952.389453509,..,..,5262.91359620389,62.969,19.2922621157782,..,-249598404.173107
Albania,ALB,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,2019,YR2019,..,..,4022.15018374716,468321.921497082,..,..,3140.90717898635,73.189,37.6170489681177,..,-4199270068.10017
Algeria,DZA,2020,YR2020,..,..,3337.25251157504,414495.867661323,..,..,2726.42274722732,73.733,30.6961028751975,..,-2944261095.08995
Algeria,DZA,2021,YR2021,..,..,3690.62787797599,487507.56740311,..,..,2846.64050751421,74.261,36.5304192859319,..,-3586480227.21013
Algeria,DZA,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,13672.576657298,..,..,..,..,87.147,..,..,..
American Samoa,ASM,2020,YR2020,..,..,15501.5263374397,..,..,..,..,87.153,..,..,..
American Samoa,ASM,2021,YR2021,..,..,15743.3107582991,..,..,..,..,87.169,..,..,..
American Samoa,ASM,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2019,YR2019,..,..,41327.5020305489,40512.424190823,..,..,..,87.984,..,..,307198029.777231
Andorra,AND,2020,YR2020,..,..,37207.4938608348,..,..,..,..,87.916,..,..,..
Andorra,AND,2021,YR2021,..,..,42137.3272710372,..,..,..,..,87.858,..,..,..
Andorra,AND,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,2019,YR2019,..,..,2142.23875712854,852711.878571242,..,..,1328.70814309117,66.177,32.0956474510472,16.5,-6266159209.89189
Angola,AGO,2020,YR2020,..,..,1603.99347745326,926891.990860729,..,..,1100.96283392811,66.825,30.4310442583017,..,-4512744371.95459
Angola,AGO,2021,YR2021,..,..,1953.53375721508,1219960.40512206,..,..,1232.94823320045,67.46,40.2098512426354,15.8,-5323939868.25348
Angola,AGO,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2019,YR2019,..,..,18319.4560540762,46353.9867776849,..,..,..,24.506,26.4196934207715,..,-106055481.481481
Antigua and Barbuda,ATG,2020,YR2020,..,..,14787.6357752901,39207.2638780972,..,..,..,24.433,14.2239984823631,..,-24688185.1851852
Antigua and Barbuda,ATG,2021,YR2021,..,..,15781.3957017982,42131.1106104979,..,..,..,24.38,..,..,-16525925.9259259
Antigua and Barbuda,ATG,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2019,YR2019,31,1.7,9963.6725062053,460886.022870437,35.5,42.9,8244.06867842616,91.991,13.6907954764669,9.84,-17587888622.3491
Argentina,ARG,2020,YR2020,30.3,1.7,8496.42414176374,583778.83522454,42,42.3,7211.54102567579,92.111,17.0195720199631,11.46,-10004439555.5946
Argentina,ARG,2021,YR2021,30.8,1.8,10636.1201956183,989978.836646634,37.3,42,8993.54741048778,92.229,21.55202910006,8.74,-9815444429.82313
Argentina,ARG,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2019,YR2019,25.2,3.7,4828.50517771789,2350441.44052369,26.4,30,4222.08827819678,63.219,9.95814793574422,12.2,179704253.459982
Armenia,ARM,2020,YR2020,21.5,4.4,4505.86736397124,2169203.25260168,27,25.1,3818.01029926351,63.313,15.9248566697386,12.18,-196251235.661999
Armenia,ARM,2021,YR2021,23.6,4,4966.51347122366,2428633.03542644,26.5,27.9,4023.25142894731,63.431,16.4724679522442,10.01,-406357747.749411
Armenia,ARM,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,2019,YR2019,..,..,31650.7605367511,54076.6205424917,..,..,26702.1321566495,43.546,15.4069345029863,..,-153296089.385475
Aruba,ABW,2020,YR2020,..,..,24487.8635601966,42689.2645255703,..,..,20971.4380872098,43.697,5.39121550145195,..,-68100558.6592179
Aruba,ABW,2021,YR2021,..,..,29342.1008575886,50962.6172616502,..,..,24994.772987977,43.866,14.9579771493818,..,-92849162.0111732
Aruba,ABW,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..
